text,label
"Antrian layanan KK di kantor kecamatan terlalu lama, pelayanan menjadi terhambat.",Administrasi
"Antrian layanan KTP di loket pelayanan tertunda, warga harus bolak-balik.",Administrasi
"Area dekat pasar rawan begal, terutama malam hari.",Keamanan
Pengurusan akta kelahiran di kelurahan tidak jelas sehingga informasi tidak jelas.,Administrasi
Banjir terjadi di sekitar puskesmas akibat gorong-gorong tersumbat. Genangan mencapai 50 cm.,Banjir
"Area jalan utama rawan pencurian, terutama akhir pekan.",Keamanan
jalan di gang kecil berlubang dan menyebabkan kemacetan.,Infrastruktur
Pengangkutan sampah di RW 05 meluap sehingga menimbulkan bau menyengat.,Kebersihan
Warga melaporkan vandalisme di area parkir yang membahayakan pengguna jalan.,Keamanan
"Mohon penanganan banjir di komplek perumahan, air setinggi 20 cm sejak 3 jam.",Banjir
Jalan berlubang di jalan menuju halte sehingga membuat warga kesulitan lewat.,Infrastruktur
Drainase di perempatan bermasalah sehingga terjadi banjir 2 hari.,Banjir
"Mohon perbaikan jalan yang ambrol di RW 05, karena menyebabkan kemacetan.",Infrastruktur
Warga melaporkan begal di jalan utama yang membahayakan pengguna jalan.,Keamanan
"Sistem layanan kelurahan untuk surat domisili tidak jelas, sehingga pengajuan tertunda.",Administrasi
Pengangkutan sampah di dekat balai warga menumpuk sehingga mengganggu aktivitas masyarakat.,Kebersihan
"Air meluap di perempatan karena selokan penuh sampah, kondisi berlangsung 3 jam.",Banjir
"Air meluap di komplek perumahan karena drainase tersumbat, kondisi berlangsung 1 jam.",Banjir
"Antrian layanan KTP di kantor desa terlalu lama, waktu tunggu terlalu lama.",Administrasi
"Area jalan utama rawan vandalisme, terutama dini hari.",Keamanan
Pengangkutan sampah di dekat balai warga penuh sehingga mengundang lalat.,Kebersihan
Warga mengeluhkan layanan surat pindah di loket pelayanan karena informasi tidak jelas.,Administrasi
Mohon peningkatan keamanan di area parkir karena terjadi parkir liar.,Keamanan
"Air meluap di RW 05 karena hujan deras, kondisi berlangsung sejak hujan deras.",Banjir
"Sering terjadi pencurian di area parkir pada dini hari, mohon patroli.",Keamanan
Warga mengeluhkan layanan KK di kelurahan karena waktu tunggu terlalu lama.,Administrasi
"Saat hujan deras, jalan utama tergenang hingga 50 cm karena selokan penuh sampah.",Banjir
"Area jalan utama rawan balap liar, terutama sore hari.",Keamanan
jembatan di jalan menuju halte rusak dan membuat warga kesulitan lewat.,Infrastruktur
"Saat hujan deras, perempatan tergenang hingga 50 cm karena hujan deras.",Banjir
"Mohon penanganan banjir di RW 03, air setinggi 30 cm sejak 1 jam.",Banjir
Mohon petugas menangani TPS di dekat pasar karena menimbulkan bau menyengat.,Kebersihan
"Kondisi selokan di sekitar puskesmas meluap, mengganggu aktivitas masyarakat.",Kebersihan
"Air meluap di sekitar puskesmas karena gorong-gorong tersumbat, kondisi berlangsung 3 jam.",Banjir
"Sistem layanan mal pelayanan publik untuk surat domisili terlalu lama, sehingga pelayanan menjadi terhambat.",Administrasi
"Antrian layanan KK di kelurahan tertunda, pelayanan menjadi terhambat.",Administrasi
"Kondisi selokan di RW 05 penuh, mengganggu warga.",Kebersihan
marka jalan di RW 05 rusak parah dan membuat warga kesulitan lewat.,Infrastruktur
"Sistem layanan kantor desa untuk surat pindah tertunda, sehingga informasi tidak jelas.",Administrasi
tumpukan sampah berbau di dekat pasar dan mengganggu aktivitas masyarakat.,Kebersihan
"Saat hujan deras, RW 05 tergenang hingga 40 cm karena selokan penuh sampah.",Banjir
"Warga melaporkan masalah kebersihan di RW 03, mengundang lalat.",Kebersihan
Pengurusan surat domisili di mal pelayanan publik mengalami gangguan sehingga waktu tunggu terlalu lama.,Administrasi
Pengangkutan sampah di sekitar puskesmas menumpuk sehingga membuat lingkungan tidak nyaman.,Kebersihan
"Mohon penanganan banjir di sekitar puskesmas, air setinggi 10 cm sejak sejak pagi.",Banjir
